,Unnamed: 0.1,Unnamed: 0,date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
4507,4507,4507,2020-12-17,MP,2.0,2.0,0,,4.0,4.0,,0,,,17429.0,0,,,,,,113.0,113.0,0,0,,,,,,29.0,,0,17542.0,0,,,,,17542.0,0,26131.0,0
4508,4508,4508,2020-12-17,MS,4320.0,3594.0,26,726.0,7901.0,7901.0,1293.0,0,,315.0,1079660.0,0,,,,,193.0,187904.0,136835.0,2261,0,,,,,,148466.0,,0,1267564.0,2261,57605.0,336269.0,,,,0,1213929.0,0
4509,4509,4509,2020-12-17,MT,849.0,,13,,3199.0,3199.0,306.0,46,,64.0,,0,,,,,29.0,75483.0,,839,0,,,,,,65393.0,,0,742540.0,6481,,,,,,0,742540.0,6481
4510,4510,4510,2020-12-17,NC,6065.0,5788.0,86,277.0,,,2804.0,0,,620.0,,0,,,,,,457660.0,423821.0,5786,0,,,,,,,,0,5985959.0,53560,,203947.0,,,,0,5985959.0,53560
4511,4511,4511,2020-12-17,ND,1210.0,,10,,3073.0,3073.0,148.0,0,479.0,48.0,279888.0,744,,,,,,89063.0,86787.0,377,0,,,,,,84875.0,1186154.0,6486,1186154.0,6486,,16857.0,,,366675.0,1066,1249401.0,7162
4512,4512,4512,2020-12-17,NE,1448.0,,10,,4908.0,4908.0,646.0,24,,,655544.0,2390,,,1420527.0,,,152103.0,,1242,0,,,,,173638.0,85915.0,,0,1595977.0,13736,,,,,808043.0,3640,1595977.0,13736
4513,4513,4513,2020-12-17,NH,629.0,,4,,877.0,877.0,284.0,7,293.0,,449752.0,2174,,,,,,34264.0,26312.0,831,0,,,,,,26707.0,,0,940070.0,7541,35141.0,38368.0,34129.0,,476064.0,2718,940070.0,7541
4514,4514,4514,2020-12-17,NJ,18080.0,16172.0,77,1908.0,44602.0,44602.0,3637.0,141,,726.0,6530540.0,0,,,,,488.0,460722.0,419330.0,4911,0,,,,,,,,0,6991262.0,4911,,,,,,0,6945615.0,0
4515,4515,4515,2020-12-17,NM,2097.0,,48,,8408.0,8408.0,852.0,109,,,,0,,,,,,126045.0,,1688,0,,,,,,50784.0,,0,1796603.0,29195,,,,,,0,1796603.0,29195
4516,4516,4516,2020-12-17,NV,2673.0,,20,,,,1975.0,0,,416.0,893998.0,3526,,,,,282.0,196379.0,196379.0,2281,0,,,,,,,1900403.0,14474,1900403.0,14474,,,,,1090377.0,5807,,0
4517,4517,4517,2020-12-17,NY,28222.0,,122,,,,6147.0,0,,1095.0,,0,,,,,611.0,815469.0,,10914,0,,,,,,,22680046.0,202772,22680046.0,202772,,,,,,0,,0
4518,4518,4518,2020-12-17,OH,7894.0,7241.0,117,653.0,33745.0,33745.0,5018.0,370,5382.0,1211.0,,0,,,,,838.0,596178.0,542686.0,11412,0,,32980.0,,,570203.0,426525.0,,0,7056704.0,57611,,655811.0,,,,0,7056704.0,57611
4519,4519,4519,2020-12-17,OK,2144.0,,16,,14821.0,14821.0,1699.0,156,,481.0,2158637.0,0,,,2158637.0,,,248204.0,,2975,0,7147.0,,,,244480.0,214290.0,,0,2406841.0,2975,101297.0,,,,,0,2403117.0,0
4520,4520,4520,2020-12-17,OR,1262.0,,48,,5679.0,5679.0,620.0,100,,122.0,,0,,,2231538.0,,63.0,97622.0,,1530,0,,,,,136871.0,,,0,2368409.0,24681,,,,,,0,2368409.0,24681
4521,4521,4521,2020-12-17,PA,13392.0,,224,,,,6209.0,0,,1246.0,3101764.0,15705,,,,,745.0,529335.0,481810.0,9966,0,,,,,,317601.0,6800942.0,62951,6800942.0,62951,,,,,3583574.0,24321,,0
4522,4522,4522,2020-12-17,PR,1323.0,1086.0,11,237.0,,,602.0,0,,99.0,305972.0,0,,,395291.0,,100.0,64751.0,61783.0,1065,0,48083.0,,,,20103.0,55479.0,,0,370723.0,1065,,,,,,0,415664.0,0
4523,4523,4523,2020-12-17,RI,1602.0,,12,,5766.0,5766.0,479.0,66,,59.0,518654.0,3165,,,1712915.0,,29.0,77290.0,,1081,0,,,,,93289.0,,1806204.0,19541,1806204.0,19541,,,,,595944.0,4246,,0
4524,4524,4524,2020-12-17,SC,4843.0,4484.0,43,359.0,13179.0,13179.0,1524.0,109,,333.0,2545248.0,13693,84169.0,,2470876.0,,113.0,262774.0,243583.0,2655,0,13910.0,35556.0,,,317955.0,132358.0,,0,2808022.0,16348,98079.0,319131.0,,,,0,2788831.0,15805
4525,4525,4525,2020-12-17,SD,1301.0,,1,,5317.0,5317.0,406.0,52,,77.0,263719.0,708,,,,,41.0,93197.0,85474.0,594,0,,,,,91401.0,83140.0,,0,567197.0,4919,,,,,356916.0,1302,567197.0,4919
4526,4526,4526,2020-12-17,TN,5845.0,5195.0,177,650.0,13537.0,13537.0,3165.0,100,,780.0,,0,,,4631204.0,,399.0,493230.0,444105.0,8945,0,,51639.0,,,516529.0,418724.0,,0,5147733.0,32933,,483905.0,,,,0,5147733.0,32933
4527,4527,4527,2020-12-17,TX,24660.0,,266,,,,9628.0,0,,2771.0,,0,,,,,,1539189.0,1371223.0,19849,0,71064.0,79073.0,,,1500558.0,1216415.0,,0,12444012.0,83703,627702.0,957887.0,,,,0,12444012.0,83703
4528,4528,4528,2020-12-17,UT,1126.0,,30,,9791.0,9791.0,571.0,99,1694.0,211.0,1241069.0,6657,,,1837001.0,601.0,,243918.0,,3203,0,,25385.0,,24379.0,239194.0,186564.0,,0,2076195.0,17289,,346282.0,,150995.0,1462253.0,9328,2076195.0,17289
4529,4529,4529,2020-12-17,VA,4553.0,4126.0,45,427.0,16503.0,16503.0,2399.0,150,,490.0,,0,,,,,246.0,296093.0,254722.0,3853,0,15176.0,38582.0,,,306207.0,,3810790.0,30764,3810790.0,30764,177710.0,509287.0,,,,0,,0
4530,4530,4530,2020-12-17,VI,23.0,,0,,,,,0,,,30585.0,769,,,,,,1878.0,,50,0,,,,,,1667.0,,0,32463.0,819,,,,,32582.0,842,,0
4531,4531,4531,2020-12-17,VT,105.0,105.0,0,,,,26.0,0,,3.0,241308.0,1139,,,,,,6149.0,5996.0,140,0,,,,,,3897.0,,0,633446.0,5086,,,,,247304.0,1275,633446.0,5086
4532,4532,4532,2020-12-17,WA,3042.0,,89,,13074.0,13074.0,1233.0,301,,279.0,,0,,,,,141.0,214265.0,206594.0,61,0,,,,,,,3432892.0,21216,3432892.0,21216,,,,,,0,,0
4533,4533,4533,2020-12-17,WI,4561.0,4255.0,68,306.0,19785.0,19785.0,1363.0,129,1963.0,298.0,2273936.0,7295,,,,,,482443.0,448441.0,4281,0,,,,,,403706.0,4966237.0,38534,4966237.0,38534,,,,,2722377.0,10938,,0
4534,4534,4534,2020-12-17,WV,1071.0,983.0,32,88.0,,,781.0,0,,206.0,,0,,,,,84.0,68485.0,56877.0,1636,0,,,,,,45582.0,,0,1350165.0,14331,23993.0,,,,,0,1350165.0,14331
4535,4535,4535,2020-12-17,WY,351.0,,23,,983.0,983.0,169.0,7,,,153126.0,903,,,420938.0,,,40593.0,35113.0,283,0,,,,,36183.0,37953.0,,0,457212.0,-604,,,,,188239.0,1133,457212.0,-604
4536,4536,4536,2020-12-16,AK,181.0,181.0,2,,921.0,921.0,146.0,13,,,,0,,,1115724.0,,15.0,41041.0,,603,0,,,,,49120.0,,,0,1166145.0,8278,,,,,,0,1166145.0,8278
4537,4537,4537,2020-12-16,AL,4198.0,3704.0,74,494.0,29559.0,29559.0,2310.0,300,2380.0,,1491279.0,6097,,,,1364.0,,305640.0,249849.0,4107,0,,,,,,183625.0,,0,1741128.0,8943,,,79047.0,,1741128.0,8943,,0
4538,4538,4538,2020-12-16,AR,3074.0,2725.0,58,349.0,10230.0,10230.0,1079.0,134,,399.0,1722858.0,9979,,,1722858.0,1117.0,184.0,191504.0,163230.0,2306,0,,,,34344.0,,167631.0,,0,1886088.0,11617,,,,187871.0,,0,1886088.0,11617
4539,4539,4539,2020-12-16,AS,0.0,,0,,,,,0,,,2140.0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,2140.0,0,,,,,,0,2140.0,0
4540,4540,4540,2020-12-16,AZ,7530.0,6919.0,108,611.0,31468.0,31468.0,3809.0,202,,882.0,2148190.0,11008,,,,,602.0,429219.0,412450.0,4837,0,,,,,,,,0,4409083.0,34631,473513.0,,379855.0,,2560640.0,15314,4409083.0,34631
4541,4541,4541,2020-12-16,CA,21481.0,,293,,,,15886.0,0,,3297.0,,0,,,,,,1671081.0,1671081.0,53711,0,,,,,,,,0,28149590.0,304524,,,,,,0,28149590.0,304524
4542,4542,4542,2020-12-16,CO,4156.0,3570.0,71,586.0,16614.0,16614.0,1554.0,127,,,1701213.0,6874,215771.0,,,,,296716.0,284537.0,3334,0,23298.0,,,,,,3877267.0,35442,3877267.0,35442,242708.0,,,,1985750.0,10065,,0
4543,4543,4543,2020-12-16,CT,5506.0,4449.0,40,1057.0,,,1254.0,0,,,,0,,,3936000.0,,,157781.0,148383.0,2319,0,,6816.0,,,189410.0,,,0,4131459.0,42091,,93494.0,,,,0,4131459.0,42091
4544,4544,4544,2020-12-16,DC,720.0,,0,,,,245.0,0,,73.0,,0,,,,,26.0,25602.0,,263,0,,,,,,18392.0,798388.0,6404,798388.0,6404,,,,,334999.0,1701,,0
4545,4545,4545,2020-12-16,DE,833.0,735.0,7,98.0,,,400.0,0,,54.0,425564.0,2535,,,,,,47929.0,46116.0,787,0,,,,,48504.0,,864024.0,9676,864024.0,9676,,,,,473493.0,3322,,0
4546,4546,4546,2020-12-16,FL,20490.0,,125,,59751.0,59751.0,5156.0,366,,,6876037.0,39035,578113.0,560932.0,11053512.0,,,1136024.0,1005010.0,11282,0,71851.0,,69600.0,,1476473.0,,14130578.0,108401,14130578.0,108401,650372.0,,630838.0,,8012061.0,50317,12586555.0,103137
4547,4547,4547,2020-12-16,GA,10228.0,9302.0,68,926.0,38418.0,38418.0,3564.0,307,6936.0,,,0,,,,,,560619.0,488338.0,6624,0,40546.0,,,,459748.0,,,0,4817908.0,23433,383471.0,,,,,0,4817908.0,23433
4548,4548,4548,2020-12-16,GU,119.0,,0,,,,28.0,0,,9.0,84747.0,287,,,,,5.0,7168.0,7004.0,19,0,17.0,178.0,,,,6513.0,,0,91915.0,306,321.0,4761.0,,,,0,91751.0,303
4549,4549,4549,2020-12-16,HI,278.0,278.0,4,,1371.0,1371.0,60.0,7,,19.0,,0,,,,,18.0,19954.0,19590.0,110,0,,,,,19519.0,,747909.0,3662,747909.0,3662,,,,,,0,,0
4550,4550,4550,2020-12-16,IA,3354.0,,14,,,,776.0,0,,152.0,906132.0,2559,,74873.0,1826895.0,,85.0,225050.0,225050.0,1539,0,,38061.0,6790.0,35724.0,243800.0,200792.0,,0,1131182.0,4098,,708292.0,81703.0,162641.0,1133412.0,4087,2081314.0,16014
4551,4551,4551,2020-12-16,ID,1214.0,1088.0,20,126.0,4908.0,4908.0,444.0,81,895.0,101.0,407804.0,2765,,,,,,124019.0,103740.0,1802,0,,,,,,48070.0,,0,511544.0,4165,,45753.0,,,511544.0,4165,789794.0,6081
4552,4552,4552,2020-12-16,IL,15777.0,14655.0,190,1122.0,,,4793.0,0,,1045.0,,0,,,,,590.0,870600.0,,7123,0,,,,,,,,0,12055288.0,93278,,,,,,0,12055288.0,93278
4553,4553,4553,2020-12-16,IN,7101.0,6781.0,133,320.0,31575.0,31575.0,3192.0,251,5564.0,852.0,2020712.0,8803,,,,,380.0,440850.0,,6208,0,,,,,399796.0,,,0,5050163.0,49885,,,,,2461562.0,15011,5050163.0,49885
4554,4554,4554,2020-12-16,KS,2253.0,,144,,6050.0,6050.0,858.0,155,1628.0,228.0,723696.0,9982,,,,409.0,111.0,194569.0,,4551,0,,,,,,,,0,918265.0,14533,,,,,918265.0,14533,,0
4555,4555,4555,2020-12-16,KY,2262.0,2133.0,23,129.0,11726.0,11726.0,1793.0,137,2759.0,460.0,,0,,,,,239.0,230693.0,187697.0,2875,0,,,,,,32402.0,,0,2940097.0,14968,98848.0,136923.0,,,,0,2940097.0,14968
4556,4556,4556,2020-12-16,LA,6933.0,6607.0,38,326.0,,,1584.0,0,,,3588088.0,22115,,,,,167.0,275545.0,254489.0,3269,0,,,,,,232725.0,,0,3863633.0,25384,,163264.0,,,,0,3842577.0,24145
4557,4557,4557,2020-12-16,MA,11513.0,11261.0,70,252.0,14823.0,14823.0,1851.0,0,,382.0,3424767.0,22774,,,,,205.0,304112.0,292316.0,5952,0,,,12349.0,,358906.0,187221.0,,0,9809105.0,124172,,,135208.0,309136.0,3717083.0,28224,9809105.0,124172
4558,4558,4558,2020-12-16,MD,5270.0,5103.0,64,167.0,23908.0,23908.0,1762.0,197,,399.0,2365844.0,11329,,150832.0,,,,241767.0,241767.0,2405,0,,,17546.0,,290913.0,8966.0,,0,5131430.0,36858,,,168378.0,,2607611.0,13734,5131430.0,36858
4559,4559,4559,2020-12-16,ME,267.0,263.0,2,4.0,934.0,934.0,187.0,25,,46.0,,0,12705.0,,,,18.0,17311.0,15142.0,551,0,487.0,2134.0,,,19550.0,10650.0,,0,986453.0,8432,13204.0,48745.0,,,,0,986453.0,8432
4560,4560,4560,2020-12-16,MI,11588.0,11018.0,93,570.0,,,3571.0,0,,818.0,,0,,,7051776.0,,476.0,482815.0,446752.0,4644,0,,,,,567561.0,236369.0,,0,7619337.0,55380,400859.0,,,,,0,7619337.0,55380
4561,4561,4561,2020-12-16,MN,4575.0,4455.0,92,120.0,19980.0,19980.0,1277.0,195,4323.0,304.0,2418391.0,4632,,,,,,386412.0,375502.0,2248,0,,,,,,356384.0,4823852.0,16534,4823852.0,16534,,161618.0,,,2793893.0,6642,,0
4562,4562,4562,2020-12-16,MO,4799.0,,45,,,,2529.0,0,,604.0,1593659.0,4017,91576.0,,2984963.0,,324.0,353038.0,353038.0,2673,0,10549.0,31551.0,,,389956.0,,,0,3381644.0,15675,102338.0,251604.0,96130.0,121748.0,1946697.0,6690,3381644.0,15675
4563,4563,4563,2020-12-16,MP,2.0,2.0,0,,4.0,4.0,,0,,,17429.0,0,,,,,,113.0,113.0,0,0,,,,,,29.0,,0,17542.0,0,,,,,17542.0,0,26131.0,0
4564,4564,4564,2020-12-16,MS,4294.0,3581.0,42,713.0,7901.0,7901.0,1316.0,0,,321.0,1079660.0,0,,,,,193.0,185643.0,136002.0,2343,0,,,,,,148466.0,,0,1265303.0,2343,57605.0,336269.0,,,,0,1213929.0,0
4565,4565,4565,2020-12-16,MT,836.0,,10,,3153.0,3153.0,311.0,34,,65.0,,0,,,,,35.0,74644.0,,604,0,,,,,,64737.0,,0,736059.0,3320,,,,,,0,736059.0,3320
4566,4566,4566,2020-12-16,NC,5979.0,5714.0,98,265.0,,,2811.0,0,,646.0,,0,,,,,,451874.0,419231.0,5273,0,,,,,,,,0,5932399.0,33769,,198646.0,,,,0,5932399.0,33769
4567,4567,4567,2020-12-16,ND,1200.0,,24,,3073.0,3073.0,160.0,0,479.0,48.0,279144.0,526,,,,,,88686.0,86465.0,291,0,,,,,,84535.0,1179668.0,4494,1179668.0,4494,,15448.0,,,365609.0,761,1242239.0,4889
4568,4568,4568,2020-12-16,NE,1438.0,,20,,4884.0,4884.0,677.0,53,,,653154.0,2256,,,1408366.0,,,150861.0,,1517,0,,,,,172124.0,85127.0,,0,1582241.0,19497,,,,,804403.0,3772,1582241.0,19497
4569,4569,4569,2020-12-16,NH,625.0,,21,,870.0,870.0,286.0,7,292.0,,447578.0,1799,,,,,,33433.0,25768.0,888,0,,,,,,26128.0,,0,932529.0,5919,35061.0,37554.0,34058.0,,473346.0,2309,932529.0,5919
4570,4570,4570,2020-12-16,NJ,18003.0,16095.0,131,1908.0,44461.0,44461.0,3672.0,325,,721.0,6530540.0,69631,,,,,482.0,455811.0,415075.0,6306,0,,,,,,,,0,6986351.0,75937,,,,,,0,6945615.0,75292
4571,4571,4571,2020-12-16,NM,2049.0,,43,,8299.0,8299.0,838.0,160,,,,0,,,,,,124357.0,,1800,0,,,,,,49609.0,,0,1767408.0,11982,,,,,,0,1767408.0,11982
4572,4572,4572,2020-12-16,NV,2653.0,,57,,,,1550.0,0,,329.0,890472.0,3599,,,,,247.0,194098.0,194098.0,2366,0,,,,,,,1885929.0,19084,1885929.0,19084,,,,,1084570.0,5965,,0
4573,4573,4573,2020-12-16,NY,28100.0,,98,,,,6097.0,0,,1098.0,,0,,,,,611.0,804555.0,,9998,0,,,,,,,22477274.0,160947,22477274.0,160947,,,,,,0,,0
4574,4574,4574,2020-12-16,OH,7777.0,7141.0,123,636.0,33375.0,33375.0,5143.0,497,5344.0,1254.0,,0,,,,,845.0,584766.0,533299.0,5409,0,,31951.0,,,562324.0,416028.0,,0,6999093.0,33346,,636529.0,,,,0,6999093.0,33346
4575,4575,4575,2020-12-16,OK,2128.0,,42,,14665.0,14665.0,1717.0,257,,481.0,2158637.0,10680,,,2158637.0,,,245229.0,,3238,0,7147.0,,,,244480.0,210907.0,,0,2403866.0,13918,101297.0,,,,,0,2403117.0,7866
4576,4576,4576,2020-12-16,OR,1214.0,,53,,5579.0,5579.0,599.0,76,,119.0,,0,,,2208399.0,,67.0,96092.0,,1082,0,,,,,135329.0,,,0,2343728.0,38797,,,,,,0,2343728.0,38797
4577,4577,4577,2020-12-16,PA,13168.0,,278,,,,6346.0,0,,1238.0,3086059.0,13754,,,,,740.0,519369.0,473194.0,10049,0,,,,,,306427.0,6737991.0,62032,6737991.0,62032,,,,,3559253.0,21814,,0
4578,4578,4578,2020-12-16,PR,1312.0,1077.0,18,235.0,,,593.0,0,,98.0,305972.0,0,,,395291.0,,96.0,63686.0,60792.0,267,0,47546.0,,,,20103.0,55464.0,,0,369658.0,267,,,,,,0,415664.0,0
4579,4579,4579,2020-12-16,RI,1590.0,,20,,5700.0,5700.0,469.0,84,,62.0,515489.0,2337,,,1694627.0,,30.0,76209.0,,972,0,,,,,92036.0,,1786663.0,15229,1786663.0,15229,,,,,591698.0,3309,,0
4580,4580,4580,2020-12-16,SC,4800.0,4444.0,44,356.0,13070.0,13070.0,1046.0,110,,261.0,2531555.0,19316,83898.0,,2457608.0,,111.0,260119.0,241471.0,2799,0,13817.0,34538.0,,,315418.0,130905.0,,0,2791674.0,22115,97715.0,311277.0,,,,0,2773026.0,21668
4581,4581,4581,2020-12-16,SD,1300.0,,39,,5265.0,5265.0,412.0,23,,81.0,263011.0,1428,,,,,25.0,92603.0,84967.0,904,0,,,,,90483.0,80316.0,,0,562278.0,913,,,,,355614.0,2332,562278.0,913
4582,4582,4582,2020-12-16,TN,5668.0,5059.0,53,609.0,13437.0,13437.0,3100.0,105,,757.0,,0,,,4605350.0,,378.0,484285.0,437798.0,11410,0,,48804.0,,,509450.0,411843.0,,0,5114800.0,57810,,467572.0,,,,0,5114800.0,57810
4583,4583,4583,2020-12-16,TX,24394.0,,252,,,,9528.0,0,,2742.0,,0,,,,,,1519340.0,1367965.0,18802,0,70308.0,77243.0,,,1489316.0,1216415.0,,0,12360309.0,77097,624341.0,934936.0,,,,0,12360309.0,77097
4584,4584,4584,2020-12-16,UT,1096.0,,19,,9692.0,9692.0,566.0,107,1686.0,210.0,1234412.0,5685,,,1822652.0,598.0,,240715.0,,2928,0,,24736.0,,23771.0,236254.0,182744.0,,0,2058906.0,15526,,336818.0,,147438.0,1452925.0,7893,2058906.0,15526
4585,4585,4585,2020-12-16,VA,4508.0,4090.0,38,418.0,16353.0,16353.0,2349.0,166,,511.0,,0,,,,,257.0,292240.0,251894.0,3931,0,14973.0,37577.0,,,302764.0,,3780026.0,25270,3780026.0,25270,176758.0,498734.0,,,,0,,0
4586,4586,4586,2020-12-16,VI,23.0,,0,,,,,0,,,29816.0,0,,,,,,1828.0,,0,0,,,,,,1641.0,,0,31644.0,0,,,,,31740.0,0,,0
4587,4587,4587,2020-12-16,VT,105.0,105.0,5,,,,33.0,0,,6.0,240169.0,490,,,,,,6009.0,5860.0,86,0,,,,,,3776.0,,0,628360.0,3143,,,,,246029.0,572,628360.0,3143
4588,4588,4588,2020-12-16,WA,2953.0,2953.0,35,,12773.0,12773.0,1181.0,124,,260.0,,0,,,,,138.0,214204.0,206544.0,667,0,,,,,,,3411676.0,31332,3411676.0,31332,,,,,,0,,0
4589,4589,4589,2020-12-16,WI,4493.0,4196.0,85,297.0,19656.0,19656.0,1410.0,146,1951.0,314.0,2266641.0,6849,,,,,,478162.0,444798.0,2822,0,,,,,,399073.0,4927703.0,28659,4927703.0,28659,,,,,2711439.0,9251,,0
4590,4590,4590,2020-12-16,WV,1039.0,958.0,27,81.0,,,766.0,0,,197.0,,0,,,,,82.0,66849.0,55536.0,1148,0,,,,,,44550.0,,0,1335834.0,8688,23759.0,,,,,0,1335834.0,8688
4591,4591,4591,2020-12-16,WY,328.0,,0,,976.0,976.0,173.0,5,,,152223.0,705,,,421419.0,,,40310.0,34883.0,246,0,,,,,36306.0,37458.0,,0,457816.0,7792,,,,,187106.0,876,457816.0,7792
4592,4592,4592,2020-12-15,AK,179.0,179.0,3,,908.0,908.0,140.0,19,,,,0,,,1107974.0,,13.0,40438.0,,278,0,,,,,48598.0,,,0,1157867.0,10307,,,,,,0,1157867.0,10307
4593,4593,4593,2020-12-15,AL,4124.0,3642.0,22,482.0,29259.0,29259.0,2353.0,346,2374.0,,1485182.0,6275,,,,1360.0,,301533.0,247003.0,3638,0,,,,,,174805.0,,0,1732185.0,8516,,,78493.0,,1732185.0,8516,,0
4594,4594,4594,2020-12-15,AR,3016.0,2672.0,26,344.0,10096.0,10096.0,1070.0,105,,382.0,1712879.0,7036,,,1712879.0,1099.0,190.0,189198.0,161592.0,1691,0,,,,33593.0,,165467.0,,0,1874471.0,8272,,,,183346.0,,0,1874471.0,8272
4595,4595,4595,2020-12-15,AS,0.0,,0,,,,,0,,,2140.0,0,,,,,,0.0,0.0,0,0,,,,,,,,0,2140.0,0,,,,,,0,2140.0,0
4596,4596,4596,2020-12-15,AZ,7422.0,6835.0,64,587.0,31266.0,31266.0,3702.0,124,,863.0,2137182.0,10254,,,,,579.0,424382.0,408144.0,4134,0,,,,,,,,0,4374452.0,29759,471973.0,,378518.0,,2545326.0,14104,4374452.0,29759
4597,4597,4597,2020-12-15,CA,21188.0,,142,,,,15198.0,0,,3193.0,,0,,,,,,1617370.0,1617370.0,32326,0,,,,,,,,0,27845066.0,293027,,,,,,0,27845066.0,293027
4598,4598,4598,2020-12-15,CO,4085.0,3505.0,116,580.0,16487.0,16487.0,1554.0,313,,,1694339.0,4736,213157.0,,,,,293382.0,281346.0,2278,0,22725.0,,,,,,3841825.0,31936,3841825.0,31936,239069.0,,,,1975685.0,6804,,0
4599,4599,4599,2020-12-15,CT,5466.0,4414.0,22,1052.0,,,1269.0,0,,,,0,,,3896731.0,,,155462.0,146114.0,1470,0,,6725.0,,,186624.0,,,0,4089368.0,45897,,91514.0,,,,0,4089368.0,45897
4600,4600,4600,2020-12-15,DC,720.0,,4,,,,224.0,0,,75.0,,0,,,,,26.0,25339.0,,301,0,,,,,,18137.0,791984.0,9005,791984.0,9005,,,,,333298.0,2205,,0
4601,4601,4601,2020-12-15,DE,826.0,728.0,10,98.0,,,376.0,0,,62.0,423029.0,2073,,,,,,47142.0,45381.0,685,0,,,,,47589.0,,854348.0,8556,854348.0,8556,,,,,470171.0,2758,,0
4602,4602,4602,2020-12-15,FL,20365.0,,94,,59385.0,59385.0,5103.0,352,,,6837002.0,34435,578113.0,560932.0,10965359.0,,,1124742.0,997924.0,9296,0,71851.0,,69600.0,,1461780.0,,14022177.0,85977,14022177.0,85977,650372.0,,630838.0,,7961744.0,43731,12483418.0,82685
4603,4603,4603,2020-12-15,GA,10160.0,9250.0,56,910.0,38111.0,38111.0,3352.0,374,6896.0,,,0,,,,,,553995.0,484152.0,7437,0,40399.0,,,,456367.0,,,0,4794475.0,38945,382784.0,,,,,0,4794475.0,38945
4604,4604,4604,2020-12-15,GU,119.0,,0,,,,28.0,0,,9.0,84460.0,465,,,,,5.0,7149.0,6988.0,12,0,17.0,178.0,,,,6511.0,,0,91609.0,477,320.0,4745.0,,,,0,91448.0,475
4605,4605,4605,2020-12-15,HI,274.0,274.0,0,,1364.0,1364.0,57.0,7,,17.0,,0,,,,,14.0,19844.0,19480.0,56,0,,,,,19423.0,,744247.0,3206,744247.0,3206,,,,,,0,,0
4606,4606,4606,2020-12-15,IA,3340.0,,67,,,,798.0,0,,166.0,903573.0,1584,,74612.0,1812659.0,,88.0,223511.0,223511.0,726,0,,37363.0,6539.0,35062.0,242125.0,196157.0,,0,1127084.0,2310,,693906.0,81191.0,160291.0,1129325.0,2326,2065300.0,7573
4607,4607,4607,2020-12-15,ID,1194.0,1075.0,19,119.0,4827.0,4827.0,444.0,64,884.0,101.0,405039.0,558,,,,,,122217.0,102340.0,1038,0,,,,,,47497.0,,0,507379.0,1421,,45753.0,,,507379.0,1421,783713.0,3665
4608,4608,4608,2020-12-15,IL,15587.0,14509.0,132,1078.0,,,4965.0,0,,1057.0,,0,,,,,598.0,863477.0,,7359,0,,,,,,,,0,11962010.0,92922,,,,,,0,11962010.0,92922
4609,4609,4609,2020-12-15,IN,6968.0,6657.0,128,311.0,31324.0,31324.0,3229.0,289,5538.0,911.0,2011909.0,6425,,,,,404.0,434642.0,,4241,0,,,,,394462.0,,,0,5000278.0,38910,,,,,2446551.0,10666,5000278.0,38910
4610,4610,4610,2020-12-15,KS,2109.0,,0,,5895.0,5895.0,623.0,0,1584.0,182.0,713714.0,0,,,,409.0,88.0,190018.0,,0,0,,,,,,,,0,903732.0,0,,,,,903732.0,0,,0
4611,4611,4611,2020-12-15,KY,2239.0,2112.0,15,127.0,11589.0,11589.0,1788.0,126,2725.0,438.0,,0,,,,,246.0,227818.0,185901.0,2928,0,,,,,,32234.0,,0,2925129.0,9654,98612.0,133768.0,,,,0,2925129.0,9654
4612,4612,4612,2020-12-15,LA,6895.0,6577.0,50,318.0,,,1597.0,0,,,3565973.0,31246,,,,,152.0,272276.0,252459.0,2633,0,,,,,,217930.0,,0,3838249.0,33879,,156087.0,,,,0,3818432.0,33413
4613,4613,4613,2020-12-15,MA,11443.0,11190.0,55,253.0,14823.0,14823.0,1834.0,0,,371.0,3401993.0,15615,,,,,200.0,298160.0,286866.0,3929,0,,,12349.0,,352414.0,187221.0,,0,9684933.0,61236,,,135208.0,303783.0,3688859.0,19335,9684933.0,61236
4614,4614,4614,2020-12-15,MD,5206.0,5039.0,64,167.0,23711.0,23711.0,1799.0,153,,411.0,2354515.0,10492,,147905.0,,,,239362.0,239362.0,2401,0,,,16775.0,,287692.0,8958.0,,0,5094572.0,33185,,,164680.0,,2593877.0,12893,5094572.0,33185
4615,4615,4615,2020-12-15,ME,265.0,261.0,6,4.0,909.0,909.0,195.0,16,,55.0,,0,12667.0,,,,19.0,16760.0,14690.0,411,0,456.0,2034.0,,,19157.0,10614.0,,0,978021.0,5623,13135.0,47050.0,,,,0,978021.0,5623
